PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
11153078	156110	7124	1.0	0.39880353	0.9999993|0.048551206|0.28184396|0.011865452|0.022882784	12|418|1220|4378|4604
11153078	7124	156110	1.0	0.80605185	0.9999993|0.047997218|0.26725718|0.01679327|0.022278866	13|419|1221|4379|4605
9696823	155971	920	1.0	0.9999994	1.0000001|0.018830983|0.0105141895|0.01906864|0.030549426|0.027473671|0.0|0.112014584|0.06554019|0.0|0.04269162|0.0|0.0|0.0|0.0|0.026288033|0.034010038|0.030147199|0.07255019|0.08705646|0.014245864|0.027423844|0.0|0.03751719|0.069473065|0.050677888|0.0|0.019282605|0.034815278|0.028310742|0.03902293|0.018109195|0.029485743|0.0|0.054462925|0.0|0.0|0.0|0.037600555|0.08580956|0.047567543|0.0|0.032697603|0.109365605|0.037249625|0.048249744|0.06511805|0.0|0.13538364|0.0|0.055253997|0.09227974|0.0|0.0|0.0|0.052931003|0.024816368|0.0333409|0.0|0.0487427|0.0|0.022299439|0.0|0.0|0.025150243|0.00804927|0.02469642|0.039009757|0.10401822|0.0|0.027440239|0.07060235|0.0|0.085667126|0.08437418|0.031778064|0.045444336|0.045234784|0.08518082|0.021630794|0.023637917|0.0|0.05084186|0.032197446|0.03184525|0.0|0.02816705|0.0|0.0|0.0|0.026543641|0.043639086|0.02026484|0.0|0.042226195|0.023029655|0.040088348|0.064575024|0.040106256|0.066|0.064813346|0.0|0.07481202|0.0|0.0|0.06147849|0.05403835|0.049221817|0.0|0.020873163|0.0|0.040106256|0.030099908|0.0|0.054979045|0.13070855|0.0|0.0|0.0|0.042659216|0.12937054|0.0|0.06981702|0.0655497|0.02902621|0.0642722|0.1519965|0.03439877|0.12830707|0.026295526|0.023498682|0.049495257|0.0|0.084218934|0.0|0.0|0.028105667|0.030884266|0.036708977|0.0|0.0|0.020341517|0.019705191|0.0|0.02172374|0.07862753|0.071944356|0.066066675|0.0|0.01487811|0.04410691|0.0|0.0|0.0|0.019237036|0.011504361|0.0|0.0|0.10226091|0.012339185|0.02131785|0.024163263|0.0|0.03001726|0.14975306|0.024200168|0.028632045|0.0353091|0.0|0.1028478|0.0|0.041089714|0.04409914|0.0|0.014779571|0.06198294|0.00804927|0.0|0.058590725|0.029926129|0.0|0.027473671|0.023918133|0.0|0.0|0.05567445|0.09051573|0.051612005|0.07542212|0.029427953|0.06053184|0.034788333|0.027473671|0.0|0.068513714|0.0|0.04656014|0.123833366|0.05354061|0.0|0.0|0.05571249|0.07351713|0.0|0.12832014|0.014267094|0.022057086|0.03256411|0.030624095|0.012569562|0.0|0.10477408|0.0|0.06733769|0.030296104|0.047273003|0.045450024|0.037454367|0.027128216|0.0|0.059811275|0.056135435|0.0|0.005941651|0.01963995|0.0|0.048829593|0.052814104|0.00804927|0.0|0.066508725|0.06307666|0.06623022|0.04010688|0.0|0.09012009|0.023002189|0.028535817|0.0|0.0|0.05846377|0.0|0.035389062|0.0283955|0.034268122|0.050372865|0.0358575|0.0|0.033517085|0.0|0.11945451|0.044057332|0.05318504|0.026221171|0.027928561|0.0|0.0|0.014543585|0.024223294|0.06155851|0.04038145|0.021474648|0.024163263|0.03962361|0.01084552|0.109827116|0.013658603|0.0|0.0|0.02790224|0.0|0.044380262|0.0|0.05723335|0.038986605|0.038154375|0.035331883|0.044083394|0.0|0.023182686|0.024162445|0.0|0.034429763	14|24|36|38|42|90|114|174|184|230|274|294|300|308|352|356|360|368|374|394|404|428|430|456|474|490|492|496|516|518|522|534|538|688|696|714|744|748|756|812|850|860|864|866|880|884|896|898|942|944|948|974|984|1048|1062|1088|1112|1140|1148|1176|1196|1204|1208|1210|1222|1226|1230|1244|1288|1304|1312|1320|1356|1372|1378|1400|1418|1438|1442|1472|1478|1482|1492|1518|1570|1580|1582|1590|1596|1606|1622|1634|1638|1660|1670|1686|1708|1762|1776|1790|1798|1802|1810|1830|1850|1868|1876|1878|1896|1898|1910|1928|1950|1958|1960|1968|2004|2020|2038|2040|2048|2062|2104|2106|2108|2116|2132|2146|2190|2208|2210|2226|2242|2254|2306|2310|2324|2328|2362|2366|2392|2398|2404|2428|2436|2446|2448|2450|2464|2494|2516|2522|2540|2546|2550|2576|2580|2594|2608|2610|2612|2644|2664|2686|2696|2702|2730|2740|2746|2748|2750|2764|2786|2830|2868|2884|2892|2900|2904|2986|3006|3020|3036|3050|3078|3080|3100|3146|3148|3158|3160|3174|3186|3246|3252|3278|3312|3354|3358|3364|3374|3380|3388|3420|3442|3474|3490|3510|3516|3542|3558|3568|3590|3602|3604|3636|3638|3658|3680|3690|3704|3724|3736|3742|3804|3838|3844|3870|3902|3912|3918|3928|3996|4000|4030|4046|4050|4054|4066|4082|4094|4108|4122|4132|4140|4150|4166|4168|4180|4186|4204|4224|4248|4250|4342|4362|4368|4384|4394|4402|4414|4434|4444|4476|4494|4504|4508|4514|4540|4542|4548|4552|4628|4692|4708|4722|4724|4774|4802|4812|4858|4860|4870
9696823	920	155971	1.0	0.99999714	0.9999997|0.023215517|0.017575676|0.023078196|0.03230778|0.030957684|0.0|0.08868669|0.04905151|0.0|0.032164093|0.0|0.20202483|0.0|0.0|0.02214361|0.024114903|0.02298893|0.07518795|0.08043187|0.01053424|0.0|0.0|0.036791917|0.07238593|0.040920172|0.0|0.02147558|0.03698196|0.03490963|0.03726231|0.012228411|0.028964942|0.0|0.061448574|0.0|0.0|0.0|0.030388895|0.07356843|0.048479456|0.0|0.023302326|0.11210628|0.04201188|0.041636113|0.06612009|0.0|0.10098163|0.0|0.05491218|0.07186671|0.0|0.0|0.0|0.051302526|0.0|0.045368247|0.0|0.0553144|0.0|0.020862166|0.0|0.0|0.027857292|0.013299237|0.016144935|0.04439693|0.08835675|0.0|0.033962388|0.052278258|0.0|0.07107385|0.085662775|0.04140337|0.036909748|0.028603878|0.09525754|0.016516875|0.016319118|0.0|0.045307484|0.03083931|0.024941865|0.0|0.034114648|0.0|0.04620398|0.044485044|0.024024133|0.047342803|0.017446976|0.0|0.03937527|0.032925706|0.052257594|0.08214716|0.035998557|0.06261244|0.060337678|0.0|0.049515814|0.0|0.0|0.0573393|0.040105898|0.046741106|0.0|0.022137027|0.0|0.035998557|0.025724296|0.0|0.06295936|0.09673184|0.0|0.0|0.0|0.045823373|0.11212872|0.0|0.053261034|0.05427069|0.032144193|0.06339537|0.11193137|0.031500515|0.10608426|0.021842256|0.027352389|0.04789201|0.051860005|0.0806754|0.0|0.0|0.0296576|0.048796367|0.028128535|0.0|0.0|0.023000866|0.014270801|0.0|0.017886888|0.06063681|0.07900568|0.05416599|0.0|0.019975983|0.036477067|0.0|0.0|0.0|0.024588749|0.013166022|0.0|0.0|0.08757932|0.017677044|0.02079429|0.022719838|0.0|0.04789196|0.14635313|0.02667131|0.012658306|0.027801514|0.0|0.079919636|0.05342449|0.042645313|0.05366089|0.0|0.01505262|0.037289638|0.013299237|0.0|0.059554175|0.028388765|0.0|0.030957684|0.023455458|0.0|0.0|0.04261514|0.08777852|0.043604527|0.06851492|0.026299128|0.061234735|0.03517162|0.030957684|0.0|0.06855469|0.0|0.045522608|0.09298488|0.04243132|0.0|0.0|0.06054424|0.052034758|0.0|0.09576547|0.016870862|0.0248893|0.03229712|0.027085721|0.01718709|0.0|0.089622505|0.044347726|0.06293578|0.022928618|0.04506561|0.036856517|0.032816432|0.021305202|0.0|0.059417516|0.06429|0.0|0.014402755|0.0143682575|0.0|0.027721938|0.044260256|0.013299237|0.050618824|0.05338797|0.055739038|0.061714068|0.035116427|0.0|0.08341036|0.026677085|0.024570877|0.054511078|0.0|0.043551393|0.0|0.035812795|0.0|0.028805893|0.049487874|0.033767223|0.0|0.032398373|0.0|0.11192962|0.040231377|0.036994703|0.022232061|0.03913326|0.0|0.0|0.012964131|0.02394221|0.061692227|0.050652966|0.02589653|0.022719838|0.046527185|0.007533822|0.09104613|0.023391211|0.0|0.0|0.03188763|0.0|0.049807742|0.0|0.055582255|0.04388444|0.031909112|0.032924566|0.051433925|0.0|0.022946203|0.022814263|0.0|0.028225278	15|25|37|39|43|91|115|175|185|231|275|295|301|309|353|357|361|369|375|395|405|429|431|457|475|491|493|497|517|519|523|535|539|689|697|715|745|749|757|813|851|861|865|867|881|885|897|899|943|945|949|975|985|1049|1063|1089|1113|1141|1149|1177|1197|1205|1209|1211|1223|1227|1231|1245|1289|1305|1313|1321|1357|1373|1379|1401|1419|1439|1443|1473|1479|1483|1493|1519|1571|1581|1583|1591|1597|1607|1623|1635|1639|1661|1671|1687|1709|1763|1777|1791|1799|1803|1811|1831|1851|1869|1877|1879|1897|1899|1911|1929|1951|1959|1961|1969|2005|2021|2039|2041|2049|2063|2105|2107|2109|2117|2133|2147|2191|2209|2211|2227|2243|2255|2307|2311|2325|2329|2363|2367|2393|2399|2405|2429|2437|2447|2449|2451|2465|2495|2517|2523|2541|2547|2551|2577|2581|2595|2609|2611|2613|2645|2665|2687|2697|2703|2731|2741|2747|2749|2751|2765|2787|2831|2869|2885|2893|2901|2905|2987|3007|3021|3037|3051|3079|3081|3101|3147|3149|3159|3161|3175|3187|3247|3253|3279|3313|3355|3359|3365|3375|3381|3389|3421|3443|3475|3491|3511|3517|3543|3559|3569|3591|3603|3605|3637|3639|3659|3681|3691|3705|3725|3737|3743|3805|3839|3845|3871|3903|3913|3919|3929|3997|4001|4031|4047|4051|4055|4067|4083|4095|4109|4123|4133|4141|4151|4167|4169|4181|4187|4205|4225|4249|4251|4343|4363|4369|4385|4395|4403|4415|4435|4445|4477|4495|4505|4509|4515|4541|4543|4549|4553|4629|4693|4709|4723|4725|4775|4803|4813|4859|4861|4871
28031466	156110	7020	0.0	0.99999213	1.0000002|0.0665306|0.049308874|0.0764581|0.0|0.0	16|1458|2008|3728|3946|4194
28031466	7020	156110	0.0	0.9999993	1.0|0.058187157|0.033446282|0.058285013|0.0|0.0	17|1459|2009|3729|3947|4195
20729708	155459	60489	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	18|20|26|32|60|80|92|124|142|180|224|238|262|276|342|376|380|388|444|460|542|672|678|692|878|916|966|978|1004|1090|1152|1232|1266|1290|1324|1360|1382|1566|1602|1644|1690|1746|1748|1782|1784|1792|1800|1840|1894|1978|2002|2030|2032|2060|2066|2136|2142|2154|2252|2266|2332|2334|2338|2412|2424|2626|2682|2692|2712|2714|2800|2834|2874|2890|3044|3214|3306|3334|3356|3430|3460|3512|3514|3520|3562|3634|3712|3730|3776|3784|3794|3882|3892|3934|3938|3948|3956|3960|4008|4010|4154|4156|4160|4170|4220|4238|4244|4260|4304|4308|4360|4422|4428|4436|4438|4468|4482|4512|4518|4532|4544|4558|4568|4588|4666|4680|4702|4744|4768|4780|4806|4810|4832|4848|4852
20729708	60489	155459	1.0	0.9999999	1.0000001|0.0|0.028982459|0.56311125|0.0|0.06322789|0.0908912|0.0|0.03982959|0.0|0.20656827|0.0|0.0|0.013418589|0.0|0.026435744|0.0|0.028476465|0.0|0.018816115|0.022239458|0.017699283|0.021386683|0.0|0.016127124|0.038170353|0.038545087|0.0|0.0|0.0|0.0|0.0|0.039223343|0.07507507|0.02820162|0.0|0.108333275|0.0259151|0.02145528|0.0|0.2234635|0.07998334|0.0|0.054338828|0.0|0.014020735|0.13052453|0.03783437|0.0|0.103966914|0.0332989|0.0|0.053854108|0.13069576|0.09337784|0.026134394|0.10458031|0.058030244|0.0|0.017624049|0.013065272|0.025201432|0.023363346|0.04365822|0.030072488|0.0|0.03359847|0.022209687|0.08481993|0.0128295645|0.5640581|0.04013603|0.04581084|0.04623891|0.114719555|0.015112999|0.0|0.0|0.15343429|0.17153887|0.021734|0.019888902|0.023227338|0.0|0.044294238|0.033428326|0.024094187|0.14656058|0.038987145|0.07595775|0.03543582|0.021977358|0.108208306|0.07287679|0.07270427|0.111600794|0.010823131|0.11952229|0.06210906|0.041092973|0.0|0.0259151|0.0|0.092141435|0.029875953|0.03605198|0.04820759|0.060426176|0.035005555|0.0|0.13967136|0.03360549|0.086326376|0.0|0.011617817|0.06329735|0.057871796|0.015295044|0.0|0.017439462|0.0|0.08063024|0.10072165|0.023051849|0.09284477|0.09168304|0.0|0.027256375|0.0335046|0.0|0.1250941|0.0|0.36023533|0.11367514|0.082430035	19|21|27|33|61|81|93|125|143|181|225|239|263|277|343|377|381|389|445|461|543|673|679|693|879|917|967|979|1005|1091|1153|1233|1267|1291|1325|1361|1383|1567|1603|1645|1691|1747|1749|1783|1785|1793|1801|1841|1895|1979|2003|2031|2033|2061|2067|2137|2143|2155|2253|2267|2333|2335|2339|2413|2425|2627|2683|2693|2713|2715|2801|2835|2875|2891|3045|3215|3307|3335|3357|3431|3461|3513|3515|3521|3563|3635|3713|3731|3777|3785|3795|3883|3893|3935|3939|3949|3957|3961|4009|4011|4155|4157|4161|4171|4221|4239|4245|4261|4305|4309|4361|4423|4429|4437|4439|4469|4483|4513|4519|4533|4545|4559|4569|4589|4667|4681|4703|4745|4769|4781|4807|4811|4833|4849|4853
20450485	155459	60489	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	18|20|26|32|60|80|92|124|142|180|224|238|262|276|342|376|380|388|444|460|542|672|678|692|878|916|966|978|1004|1090|1152|1232|1266|1290|1324|1360|1382|1566|1602|1644|1690|1746|1748|1782|1784|1792|1800|1840|1894|1978|2002|2030|2032|2060|2066|2136|2142|2154|2252|2266|2332|2334|2338|2412|2424|2626|2682|2692|2712|2714|2800|2834|2874|2890|3044|3214|3306|3334|3356|3430|3460|3512|3514|3520|3562|3634|3712|3730|3776|3784|3794|3882|3892|3934|3938|3948|3956|3960|4008|4010|4154|4156|4160|4170|4220|4238|4244|4260|4304|4308|4360|4422|4428|4436|4438|4468|4482|4512|4518|4532|4544|4558|4568|4588|4666|4680|4702|4744|4768|4780|4806|4810|4832|4848|4852
20450485	60489	155459	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	19|21|27|33|61|81|93|125|143|181|225|239|263|277|343|377|381|389|445|461|543|673|679|693|879|917|967|979|1005|1091|1153|1233|1267|1291|1325|1361|1383|1567|1603|1645|1691|1747|1749|1783|1785|1793|1801|1841|1895|1979|2003|2031|2033|2061|2067|2137|2143|2155|2253|2267|2333|2335|2339|2413|2425|2627|2683|2693|2713|2715|2801|2835|2875|2891|3045|3215|3307|3335|3357|3431|3461|3513|3515|3521|3563|3635|3713|3731|3777|3785|3795|3883|3893|3935|3939|3949|3957|3961|4009|4011|4155|4157|4161|4171|4221|4239|4245|4261|4305|4309|4361|4423|4429|4437|4439|4469|4483|4513|4519|4533|4545|4559|4569|4589|4667|4681|4703|4745|4769|4781|4807|4811|4833|4849|4853
22013062	156110	940	0.0	1.0	0.0|0.0|0.0|0.0|0.0	22|436|2962|3402|4510
22013062	940	156110	0.0	1.0	0.0|0.0|0.0|0.0|0.0	23|437|2963|3403|4511
